BOOT
frequency=50Hz
3xAD7177 test start
{text}b1_nT,b2_nT,b3_nT,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,stm32_roll_deg,stm32_pitch_deg,vertical_raw_nT,vertical_corr_nT
{plotter}19053.353516,11151.559570,-28660.314453,0.093140,-0.054199,0.500122,32.106869,-84.595421,10.641221,0.449326,-10.211870,-24741.427734,-25434.582031
{plotter}18316.445312,10728.136719,-29616.060547,0.101685,-0.046387,0.477783,63.847328,-60.244274,-7.664122,1.700260,-11.431615,-25073.470703,-25433.490234
{plotter}17768.015625,10140.904297,-29973.316406,0.112061,-0.005859,0.453369,87.358780,-22.687023,-10.427481,3.470410,-11.900029,-25010.857422,-25428.468750
{plotter}17534.845703,8510.881836,-30188.318359,0.122681,0.051025,0.466064,87.587784,8.503817,-13.496183,5.303121,-11.737414,-25093.349609,-25432.380859
{plotter}17928.322266,7799.570801,-30237.019531,0.088379,0.076294,0.494629,71.770996,46.381680,-29.572519,6.864211,-10.738335,-25238.250000,-25446.304688
{plotter}18441.494141,7337.241699,-30110.644531,0.093872,0.096924,0.491211,53.465649,63.297710,-40.305344,8.080528,-9.377562,-25390.863281,-25469.216797
{plotter}19176.156250,7054.244629,-29456.404297,0.142212,0.090698,0.477295,47.664124,106.366409,-44.076336,9.136353,-7.200992,-25338.300781,-25484.044922
{plotter}20234.275391,6866.244141,-28870.537109,0.055054,0.041504,0.429077,35.343510,109.618324,-22.076336,9.828462,-4.966684,-25420.527344,-25501.511719
{plotter}21249.376953,6727.652832,-28360.972656,0.049072,0.120483,0.511475,-3.328244,75.770996,-28.152672,9.803321,-3.379674,-25502.041016,-25523.015625
{plotter}22678.115234,7166.167480,-27906.921875,0.015015,0.113647,0.541992,-38.717556,83.709923,-36.580154,9.048453,-1.608374,-25785.683594,-25562.246094
{plotter}23402.435547,7787.135254,-27357.662109,0.012329,0.096436,0.513306,-48.961834,80.519081,-17.770992,8.081015,0.038527,-26007.076172,-25612.429688
{plotter}24016.679688,8360.425781,-26313.757812,0.051025,0.076294,0.499268,-68.625954,48.824429,10.045801,6.716293,0.933072,-25543.160156,-25625.285156
{plotter}24389.332031,8896.523438,-25999.099609,0.024780,0.042114,0.482544,-85.435112,15.236641,22.198473,4.999053,1.152368,-25610.384766,-25641.960938
{plotter}24539.607422,9973.335938,-25821.865234,0.003540,-0.004761,0.490845,-62.290077,-1.969466,14.732824,3.703474,1.075204,-25579.791016,-25653.910156
{plotter}24495.572266,10290.193359,-25749.576172,0.018677,0.020874,0.536499,-43.786259,-12.595420,22.183207,2.827868,0.784304,-25543.488281,-25662.761719
{plotter}24421.162109,10476.721680,-25753.605469,-0.005127,0.005249,0.494995,-50.549618,-20.534351,42.595421,1.803271,0.337757,-25554.689453,-25672.779297
{plotter}24280.898438,10619.416016,-25867.224609,-0.007202,-0.016724,0.404419,-48.625954,-35.374046,34.259541,0.830477,-0.385174,-25546.781250,-25683.125000
{plotter}23995.964844,10780.428711,-26090.904297,0.058228,-0.020142,0.436401,-22.381680,-52.091602,21.832062,0.351633,-1.481997,-25394.943359,-25683.628906
{plotter}23576.476562,10857.225586,-26403.587891,0.044800,-0.037720,0.438232,-18.320610,-61.664124,17.832062,-0.065686,-2.747329,-25255.597656,-25675.941406
{plotter}22391.550781,10848.760742,-26783.269531,0.049805,0.000732,0.469849,-8.824428,-80.916031,14.488549,-0.259033,-4.397648,-25036.105469,-25654.080078
{plotter}21693.830078,10785.225586,-27251.589844,0.042969,0.033447,0.497314,2.870229,-74.305344,14.320611,-0.190314,-5.887418,-24918.105469,-25626.593750
{plotter}21097.894531,10612.761719,-28083.705078,0.013428,-0.011841,0.458130,31.160305,-57.541985,9.206107,0.400312,-6.999686,-25229.044922,-25624.240234
{plotter}20610.259766,10263.785156,-28442.167969,0.005371,-0.035645,0.438477,58.503819,-43.175571,-11.709924,1.567300,-7.815442,-25086.679688,-25612.734375
{plotter}20196.658203,9276.672852,-28770.697266,0.058350,-0.044800,0.416382,65.312981,-36.564884,-17.572519,2.890720,-8.533350,-24956.455078,-25594.843750
{plotter}19581.169922,8739.633789,-29061.179688,0.075195,0.026001,0.465088,64.274811,-18.763359,-21.022902,4.247106,-8.887982,-24968.552734,-25578.677734
{plotter}19555.328125,8278.545898,-29230.513672,0.045532,0.061768,0.514404,58.763359,13.068703,-35.496181,5.544907,-8.540924,-25075.765625,-25570.576172
{plotter}19828.800781,7937.708496,-29088.050781,0.092651,0.018433,0.481079,61.160305,55.404579,-39.465649,6.827897,-7.377966,-25160.449219,-25567.052734
{plotter}20443.117188,7582.728516,-28753.320312,0.082153,0.023560,0.459961,48.870228,78.900764,-4.473282,7.753800,-5.828985,-25249.175781,-25568.240234
{plotter}21233.164062,6916.291992,-28303.611328,0.053955,0.074341,0.466431,3.496183,93.374046,26.015266,7.770290,-4.055850,-25538.947266,-25589.234375
{plotter}23189.687500,6887.471680,-27709.253906,0.025024,0.090820,0.471069,-23.007633,108.870232,25.877863,7.299595,-1.954663,-25803.121094,-25627.398438
{plotter}24193.701172,7012.047852,-27006.412109,-0.003296,0.070923,0.517456,-31.389313,105.832062,17.603054,6.665334,0.118272,-26059.876953,-25679.310547
{plotter}25061.455078,7176.266602,-25665.537109,0.003906,0.015015,0.499268,-14.641221,85.618324,13.190840,6.334319,1.784473,-25485.519531,-25684.880859
{plotter}25744.322266,7195.861816,-25194.832031,-0.044189,0.065674,0.446167,-4.076336,56.106869,32.000000,6.300992,2.862066,-25508.080078,-25690.263672
{plotter}26219.048828,6895.860840,-24898.015625,-0.037476,0.091064,0.489014,-19.389313,31.190840,33.496181,5.993052,3.424227,-25565.054688,-25699.230469
{plotter}26680.267578,6955.950195,-24688.171875,-0.071899,0.083618,0.517944,-33.038166,15.038168,17.282442,5.373159,3.713786,-25606.220703,-25710.328125
{plotter}26809.638672,7091.822266,-24555.564453,-0.021851,0.072266,0.554077,-24.198473,15.221375,12.824428,4.908219,3.994079,-25668.179688,-25724.363281
{plotter}26905.187500,7212.198730,-24385.062500,-0.098022,0.054565,0.462036,-29.801527,-3.648855,3.236641,4.334159,3.995007,-25586.994141,-25731.451172
{plotter}26661.302734,7460.312500,-24682.142578,-0.073608,0.036133,0.425415,-34.381680,-68.213737,-13.450381,3.628450,2.688265,-25384.408203,-25725.265625
{plotter}25980.988281,8135.383789,-25273.003906,-0.024048,0.026123,0.476929,-34.671757,-100.961830,-6.076336,2.923111,0.681528,-25132.529297,-25703.244141
{plotter}24126.263672,8335.034180,-25953.730469,-0.005737,0.037476,0.481323,-17.007633,-107.908394,-7.740458,2.599993,-1.466345,-24923.160156,-25668.619141
{plotter}23207.060547,8509.487305,-26625.003906,0.003540,0.048218,0.477295,-6.702290,-92.870232,-24.442749,2.521343,-3.289413,-24850.066406,-25632.277344
{plotter}22450.019531,8717.136719,-27584.966797,0.003540,0.039551,0.489868,5.267176,-58.045803,-41.068703,2.706216,-4.382821,-25347.621094,-25634.103516
{plotter}21955.419922,8907.735352,-27840.849609,-0.004517,-0.001709,0.427734,29.450382,-29.007633,-47.618320,3.358694,-4.884558,-25302.644531,-25632.355469
{plotter}21619.673828,8826.663086,-28050.539062,0.022583,0.020874,0.420044,46.625954,-22.274809,-47.923664,4.376280,-5.255896,-25200.013672,-25623.447266
{plotter}21012.923828,8686.521484,-28251.818359,0.043335,0.035278,0.426880,46.137405,-24.946566,-49.618320,5.399641,-5.671385,-25098.800781,-25607.583984
{plotter}20595.156250,8523.931641,-28485.273438,0.054688,0.055176,0.457764,45.816795,-37.832062,-42.167938,6.427082,-6.347879,-24907.291016,-25579.425781
{plotter}20232.019531,8305.641602,-28984.712891,0.072632,0.061279,0.487183,43.419846,-25.816793,-26.641222,7.370780,-6.816321,-25082.753906,-25565.886719
{plotter}20040.529297,8024.311035,-29102.060547,0.063721,0.081421,0.486694,26.702290,-6.885496,2.824427,7.920438,-6.965429,-25083.802734,-25553.373047
{plotter}20086.976562,7650.262695,-29035.410156,0.108643,0.089233,0.481323,4.244275,38.351147,4.732824,8.005011,-6.268922,-25328.152344,-25558.164062
{plotter}21103.408203,7690.925293,-28740.089844,0.059692,0.085083,0.490234,-23.572519,57.496181,17.450382,7.499966,-5.181780,-25472.033203,-25572.402344
{plotter}21730.908203,7885.114746,-28368.007812,0.053345,0.065063,0.525879,-38.900764,71.725189,6.458015,6.695689,-3.777210,-25764.376953,-25604.958984
{plotter}22399.271484,8219.699219,-27463.621094,0.037842,0.088379,0.512329,-22.381680,65.129768,-10.931297,6.272208,-2.460837,-25415.113281,-25608.646484
{plotter}22942.162109,8519.601562,-27094.060547,0.059082,0.041382,0.443604,-11.740458,42.152672,1.175573,6.025689,-1.666375,-25371.857422,-25607.726562
{plotter}23308.449219,8713.526367,-26885.494141,0.050415,0.049683,0.436279,-3.190840,10.885496,2.412214,5.963272,-1.489946,-25219.964844,-25595.621094
{plotter}23436.265625,8766.748047,-26827.138672,0.036621,0.042480,0.469116,-17.022902,-5.358778,6.534351,5.611666,-1.639223,-25160.318359,-25579.960938
{plotter}23411.083984,8878.193359,-26831.281250,0.008057,0.045166,0.493774,-20.793894,-2.259542,6.702290,5.188272,-1.689878,-25216.851562,-25568.855469
{plotter}23439.896484,9027.005859,-26725.849609,-0.011108,0.063110,0.525635,-30.793894,11.297709,4.580153,4.578599,-1.456345,-25315.861328,-25564.671875
{plotter}23552.634766,9273.201172,-26591.992188,0.005859,0.033813,0.485107,-27.893129,10.244275,5.022901,4.012076,-1.251828,-25357.283203,-25563.003906
{plotter}23643.816406,9608.556641,-26507.771484,-0.002808,0.018921,0.451660,-16.564886,-4.717557,18.519083,3.658871,-1.357107,-25273.337891,-25555.123047
{plotter}23543.958984,9578.652344,-26523.113281,-0.034180,-0.014282,0.444946,-3.923664,-18.549618,9.709924,3.533381,-1.695028,-25174.617188,-25540.939453
{plotter}23335.898438,9585.892578,-26628.896484,-0.047852,0.020386,0.496582,-11.404580,-22.458015,-4.580153,3.298216,-2.071186,-25172.888672,-25527.636719
{plotter}23179.449219,9736.821289,-26787.013672,-0.003052,0.000732,0.503662,-22.442749,-5.038168,-9.984733,2.828725,-2.139918,-25390.013672,-25530.330078
{plotter}23130.273438,9998.084961,-26737.904297,0.012207,0.006836,0.483154,-27.465649,3.282443,-15.450381,2.270407,-2.053596,-25475.070312,-25538.482422
{plotter}23121.039062,10631.175781,-26670.232422,0.002075,-0.017456,0.427734,-26.167938,-3.954198,-2.931298,1.723954,-2.120787,-25464.666016,-25544.775391
{plotter}22938.751953,10775.774414,-26681.166016,0.025635,-0.029297,0.478394,-8.748092,-16.259542,5.022901,1.493142,-2.458085,-25383.226562,-25545.119141
{plotter}22811.310547,10794.543945,-26751.353516,-0.004517,0.000610,0.496338,-11.755725,-14.763359,4.641222,1.240382,-2.726667,-25396.236328,-25546.714844
{plotter}22690.361328,10900.989258,-26844.986328,0.017822,-0.007446,0.492432,-23.404581,-9.465649,-4.961832,0.756244,-2.907619,-25513.414062,-25556.792969
{plotter}22626.609375,11132.239258,-26802.832031,0.047485,-0.066040,0.470215,-16.885496,6.458015,-5.740458,0.337330,-2.805637,-25597.250000,-25571.939453
{plotter}22678.503906,11432.787109,-26721.458984,0.034424,-0.050537,0.435547,-9.129771,4.564886,4.885496,0.101941,-2.726452,-25592.087891,-25585.574219
{plotter}22671.742188,11451.188477,-26698.246094,0.021851,-0.038818,0.461792,-7.862596,-12.732824,9.419847,-0.113233,-2.980843,-25505.693359,-25592.794922
{plotter}22570.613281,11443.168945,-26756.728516,0.018555,-0.044922,0.469971,-0.763359,-10.381680,3.389313,-0.185625,-3.181050,-25499.902344,-25599.529297
{plotter}22553.513672,11418.589844,-26802.093750,0.015259,-0.035522,0.464111,5.068702,7.755725,-3.496183,-0.122381,-3.013102,-25603.826172,-25613.197266
{plotter}22651.935547,11406.060547,-26731.250000,0.007080,-0.042725,0.444824,7.954198,15.862596,-9.435115,0.004210,-2.679641,-25642.171875,-25628.552734
{plotter}22749.792969,11425.674805,-26676.160156,0.033081,-0.052246,0.460693,5.129771,6.351145,-10.885496,0.052246,-2.566622,-25620.220703,-25641.505859
{plotter}22751.148438,11408.074219,-26664.542969,0.019531,-0.031372,0.462036,6.458015,-3.679389,-2.549618,0.144979,-2.638616,-25559.972656,-25649.646484
{plotter}22670.390625,11336.448242,-26714.482422,0.025757,-0.023682,0.480103,9.847328,-11.129771,0.900763,0.311413,-2.865529,-25485.804688,-25652.419922
{plotter}22573.572266,11240.131836,-26878.710938,0.015015,-0.033203,0.505249,6.610687,-10.305344,-1.770992,0.411305,-3.061594,-25553.441406,-25660.291016
{plotter}22486.392578,11192.112305,-26932.404297,0.017090,-0.026123,0.507812,3.664122,-3.465649,-8.549619,0.466537,-3.120325,-25576.583984,-25669.505859
{plotter}22449.994141,11242.523438,-26940.798828,0.024658,-0.022705,0.507080,1.038168,2.977099,-7.969466,0.471007,-3.056661,-25612.160156,-25680.615234
{plotter}22441.455078,11253.758789,-26931.732422,0.036377,-0.026489,0.459961,4.396946,-2.015267,-1.129771,0.523790,-3.110867,-25570.337891,-25688.208984
{plotter}22336.224609,11179.409180,-26963.412109,0.046143,-0.020630,0.485229,11.435115,-15.801527,0.793893,0.722274,-3.450177,-25427.525391,-25685.626953
{plotter}22203.427734,11071.561523,-27175.205078,0.036743,-0.015259,0.477783,8.977099,-13.099236,-0.824427,0.877575,-3.721319,-25504.429688,-25689.121094
{plotter}22107.058594,10996.939453,-27237.962891,0.028076,-0.035767,0.451538,4.549618,-3.618321,-0.916031,0.923089,-3.791949,-25536.009766,-25694.761719
{plotter}22081.990234,10964.147461,-27250.697266,0.033569,-0.022095,0.441772,1.068702,1.618321,-3.419847,0.920945,-3.762528,-25563.554688,-25702.003906
{plotter}22086.146484,10984.948242,-27244.660156,0.035767,-0.012207,0.482056,0.213740,2.290076,-3.847328,0.906487,-3.720258,-25577.361328,-25709.732422
{plotter}22082.986328,10974.490234,-27233.562500,0.041382,-0.014526,0.474854,5.450382,-3.847328,-0.381679,0.989525,-3.809613,-25513.005859,-25712.523438
{plotter}21996.816406,10897.192383,-27357.578125,0.048950,-0.014282,0.476440,9.908397,-13.709924,1.893130,1.158431,-4.104977,-25487.451172,-25713.771484
{plotter}21865.140625,10791.490234,-27468.603516,0.036377,-0.012939,0.481079,5.557252,-15.938931,2.320611,1.239611,-4.426805,-25459.814453,-25713.396484
{plotter}21719.853516,10671.128906,-27574.322266,0.027954,-0.009766,0.507446,1.404580,-15.618320,3.099237,1.244062,-4.729967,-25452.029297,-25712.851562
{plotter}21584.226562,10627.610352,-27663.552734,0.058960,-0.010986,0.504150,1.679389,-13.954199,3.633588,1.251431,-5.026539,-25428.230469,-25710.896484
{plotter}21312.392578,10556.142578,-27754.304688,0.075684,-0.002075,0.486450,6.488550,-19.297710,6.290076,1.355613,-5.453338,-25346.925781,-25703.544922
{plotter}21113.160156,10433.848633,-28037.396484,0.080811,-0.020020,0.453491,11.068703,-25.083969,8.854961,1.523829,-6.003599,-25389.574219,-25700.408203
{plotter}20878.771484,10265.793945,-28230.515625,0.066284,-0.007202,0.444946,11.557252,-33.938931,11.053435,1.712540,-6.708486,-25281.003906,-25690.623047
{plotter}20557.460938,9887.624023,-28467.136719,0.102539,0.016113,0.464478,12.045801,-36.045803,10.656488,1.932466,-7.492965,-25196.636719,-25676.468750
{plotter}20245.939453,9737.064453,-28671.408203,0.124756,0.028320,0.490967,9.175572,-25.358778,4.030534,2.118530,-8.058446,-25174.357422,-25662.019531
{plotter}19826.119141,9643.278320,-28810.921875,0.113647,0.006470,0.449829,8.641221,-19.893129,1.496183,2.276648,-8.517604,-25155.296875,-25647.123047
{plotter}19568.992188,9492.390625,-29131.052734,0.128296,0.009399,0.437134,20.137405,-32.488548,5.129771,2.658754,-9.240493,-25145.089844,-25633.283203
{plotter}19216.699219,9262.655273,-29369.007812,0.132568,0.020386,0.467163,16.641222,-39.709923,3.908397,2.983380,-10.103215,-25028.763672,-25612.966797
{plotter}18853.687500,9037.919922,-29567.054688,0.137817,0.034302,0.530518,-3.740458,-29.755726,1.358779,2.911412,-10.712873,-25058.519531,-25596.451172
{plotter}18617.613281,9219.207031,-29631.083984,0.122070,0.029785,0.550415,-17.083969,12.458015,-13.251908,2.616923,-10.451150,-25317.984375,-25598.312500
{plotter}18953.230469,9441.187500,-29501.884766,0.124146,-0.004272,0.478638,-11.770992,30.534351,-5.190840,2.364917,-9.876965,-25404.957031,-25605.417969
{plotter}19200.568359,9526.923828,-29210.654297,0.155640,0.001587,0.464722,-3.633588,14.610687,7.755725,2.242606,-9.677276,-25177.863281,-25595.476562
{plotter}19317.818359,9530.938477,-29168.570312,0.138062,0.006348,0.479126,-8.305344,-0.549618,6.045802,2.042293,-9.752537,-25121.728516,-25582.041016
{plotter}19330.230469,9620.996094,-29159.275391,0.130493,0.004761,0.490234,-8.335877,-0.564885,3.221374,1.852405,-9.808705,-25118.474609,-25568.865234
{plotter}19329.152344,9705.008789,-29139.431641,0.117310,0.011841,0.480103,-8.458015,8.641221,-3.877863,1.691314,-9.672236,-25182.808594,-25560.488281
{plotter}19485.767578,9827.894531,-29078.634766,0.114746,-0.003662,0.452515,-7.221374,11.587787,-8.381680,1.552841,-9.481330,-25198.365234,-25553.246094
{plotter}19558.564453,9936.273438,-28955.765625,0.137451,0.000000,0.439453,0.839695,5.908397,-5.068702,1.571735,-9.434843,-25078.318359,-25537.464844
{plotter}19587.373047,9942.826172,-28949.542969,0.127930,-0.001709,0.444702,1.893130,-8.778625,1.160305,1.608135,-9.587023,-24996.662109,-25516.718750
{plotter}19517.865234,9911.662109,-29009.835938,0.126831,0.012207,0.470581,1.954198,-13.801527,1.709924,1.634814,-9.852344,-24952.070312,-25494.046875
{plotter}19305.601562,9883.004883,-29082.318359,0.092163,0.003296,0.511230,0.152672,-7.190840,1.114504,1.626048,-9.999176,-25000.742188,-25475.900391
{plotter}19390.117188,9891.745117,-29110.195312,0.112549,-0.011719,0.495850,-1.541985,17.694656,-5.969466,1.590119,-9.664800,-25160.099609,-25469.570312
{plotter}19567.123047,9946.929688,-28931.050781,0.120117,-0.007324,0.489990,-3.618321,17.374046,-5.389313,1.513370,-9.350015,-25098.537109,-25458.632812
{plotter}19693.898438,10022.373047,-28858.582031,0.121582,0.014526,0.497070,-3.343511,7.893130,-6.671756,1.468837,-9.222600,-25066.234375,-25445.691406
{plotter}19740.400391,10150.679688,-28830.144531,0.081299,-0.006226,0.495605,-1.694656,-1.938931,-2.396947,1.423350,-9.260965,-25019.876953,-25429.992188
{plotter}19798.894531,10149.953125,-28833.427734,0.055054,-0.004395,0.498779,0.916031,10.427481,-3.129771,1.433451,-9.024297,-25111.326172,-25421.291016
{plotter}20070.613281,10224.247070,-28770.000000,0.084229,0.001221,0.509766,-7.908397,43.664124,-15.679389,1.310176,-8.146277,-25396.812500,-25432.386719
{plotter}20604.187500,10435.149414,-28150.248047,0.113647,-0.002808,0.472778,-16.335878,72.122139,-25.526718,1.030107,-6.747359,-25343.638672,-25437.072266
{plotter}21186.275391,10770.608398,-27745.375000,0.122314,-0.011963,0.436401,-18.030535,55.984734,-19.282442,0.688012,-5.698287,-25374.003906,-25442.259766
{plotter}21637.396484,11259.476562,-27432.701172,0.058594,-0.013916,0.418457,-3.297710,34.885498,-9.740458,0.627056,-5.009330,-25314.199219,-25441.826172
{plotter}22093.892578,11251.422852,-27260.777344,0.057373,-0.004028,0.448364,7.190840,15.312977,2.916031,0.755985,-4.722981,-25198.726562,-25433.070312
{plotter}22204.681641,11178.080078,-27181.146484,0.019287,0.007202,0.480347,2.809160,10.687023,-0.458015,0.813679,-4.484830,-25200.634766,-25424.646484
{plotter}22365.232422,11185.615234,-26982.955078,-0.006592,-0.058716,0.486572,1.297710,26.534351,-3.603053,0.767448,-3.901050,-25246.960938,-25419.128906
{plotter}22700.523438,11209.331055,-26713.115234,-0.013672,-0.024902,0.476685,0.366412,56.061069,-7.816794,0.745346,-2.722583,-25456.773438,-25427.439453
{plotter}23180.162109,11339.550781,-26371.250000,0.004028,-0.029419,0.449219,0.335878,41.725189,-4.977099,0.718734,-1.868746,-25457.078125,-25434.392578
{plotter}23572.781250,11306.966797,-26184.150391,0.016602,-0.004028,0.484497,5.251908,1.450382,3.511450,0.809514,-1.841545,-25250.828125,-25426.466797
{plotter}23445.169922,11244.552734,-26198.056641,-0.007080,0.018311,0.530396,-1.603053,-19.404581,2.793893,0.781985,-2.216158,-25116.058594,-25409.705078
{plotter}23322.140625,11253.788086,-26356.718750,-0.022949,-0.002686,0.512085,-4.824428,-5.969466,-1.572519,0.678489,-2.298487,-25265.167969,-25404.537109
{plotter}23312.453125,11309.169922,-26339.708984,-0.000977,-0.046021,0.441406,-3.038168,4.244275,0.809160,0.567877,-2.195824,-25313.855469,-25402.955078
{plotter}23341.029297,11353.700195,-26317.664062,-0.001221,-0.017822,0.435303,-3.267176,-3.267176,2.106870,0.482179,-2.246355,-25286.152344,-25399.570312
{plotter}23305.351562,11379.646484,-26362.728516,0.004395,-0.031372,0.447021,-1.251908,-23.755726,-0.305344,0.421769,-2.707982,-25147.826172,-25387.076172
{plotter}22802.189453,11302.423828,-26529.722656,0.026611,0.022461,0.477417,5.740458,-38.824429,12.595420,0.545980,-3.491292,-24983.201172,-25364.232422
{plotter}22493.416016,11165.427734,-27005.527344,0.021606,0.013794,0.457031,1.770992,-37.282444,10.610687,0.578367,-4.231729,-25158.332031,-25356.267578
{plotter}22098.679688,11032.718750,-27352.589844,0.053223,-0.052734,0.397217,22.412214,-65.908394,27.740458,0.980618,-5.557179,-24892.105469,-25331.582031
{plotter}21513.310547,10079.932617,-27858.685547,0.072388,0.030273,0.498657,37.145039,-75.358780,34.137405,1.673043,-7.102740,-24680.980469,-25295.792969
{plotter}20905.662109,9626.902344,-28313.740234,0.063232,0.003418,0.484131,22.610687,-55.068703,22.992367,2.055531,-8.221779,-24673.330078,-25262.941406
{plotter}20093.001953,9299.711914,-28644.802734,0.077515,0.033813,0.487427,21.068703,-32.748093,12.076336,2.463277,-8.893517,-24773.027344,-25239.541016
{plotter}19984.339844,9046.492188,-28916.751953,0.085815,0.058472,0.509766,16.503817,1.160305,-1.022901,2.823712,-8.873493,-25012.994141,-25234.849609
{plotter}20144.605469,8938.253906,-28787.652344,0.103516,0.041382,0.519409,-2.381679,36.671757,-11.618320,2.814598,-8.142159,-25175.531250,-25241.232422
{plotter}20578.337891,9186.763672,-28477.570312,0.052368,-0.007935,0.480591,-6.381680,68.839691,-10.305344,2.667560,-6.738011,-25411.175781,-25262.380859
{plotter}21211.169922,9364.550781,-28071.558594,-0.027832,0.012695,0.490967,-16.091602,70.152672,-7.007634,2.342078,-5.230891,-25616.392578,-25295.531250
{plotter}22537.724609,9652.697266,-27624.177734,-0.018921,0.014648,0.519409,-24.396946,81.679390,-14.793893,1.867288,-3.538318,-25852.007812,-25342.509766
{plotter}23543.298828,9994.183594,-26289.716797,0.008667,-0.028687,0.470825,-20.839695,124.503815,0.351145,1.393895,-1.025092,-25613.458984,-25366.593750
{plotter}24556.556641,10174.677734,-25565.273438,0.014893,0.026245,0.480225,-17.740458,92.442749,21.099237,1.055516,0.806741,-25716.742188,-25394.687500
{plotter}25278.281250,10340.869141,-25029.093750,-0.042847,0.004639,0.469971,-18.900763,51.374046,2.366412,0.674068,1.877407,-25720.482422,-25420.332031
{plotter}25732.824219,10505.716797,-24669.492188,-0.070801,-0.010742,0.452515,-6.519084,23.496183,-7.847328,0.519499,2.413274,-25634.964844,-25437.896484
{plotter}26110.988281,10617.759766,-24473.492188,-0.078857,-0.037964,0.433716,1.358779,19.801527,-10.916031,0.497319,2.868211,-25656.433594,-25455.593750
{plotter}26213.562500,10701.879883,-24237.177734,-0.078735,-0.032104,0.433472,4.519084,8.977099,-12.656488,0.541159,3.103093,-25518.642578,-25462.167969
{plotter}26246.496094,10767.785156,-24213.265625,-0.083008,-0.060181,0.438843,13.480916,-1.801527,-23.114504,0.717849,3.134404,-25475.560547,-25465.298828
{plotter}26121.404297,10963.004883,-24350.673828,-0.084351,0.027466,0.482910,12.549619,-41.099236,-39.862595,0.954792,2.391680,-25233.623047,-25451.867188
{plotter}25696.101562,11139.374023,-24707.257812,-0.056885,0.013306,0.488159,5.786260,-80.198471,-26.076336,1.061018,0.839790,-24870.736328,-25414.914062
{plotter}24136.007812,11161.337891,-25266.185547,-0.035522,0.059448,0.452026,23.312977,-108.167938,-2.335878,1.585730,-1.288715,-24398.505859,-25348.078125
{plotter}23213.703125,10880.200195,-26703.066406,0.010864,0.079102,0.494629,36.229008,-91.572517,25.114504,2.361244,-3.135769,-24923.013672,-25325.054688
{plotter}22541.535156,10368.571289,-27260.548828,0.016479,-0.030151,0.428223,46.931297,-75.007637,53.938931,3.194905,-4.681028,-24711.871094,-25290.441406
{plotter}21998.673828,8794.133789,-27765.611328,0.037720,0.043335,0.459961,45.786259,-56.992367,55.923664,4.035536,-5.888862,-24677.941406,-25257.425781
{plotter}21579.734375,8113.763672,-28130.564453,0.031494,0.064575,0.472778,26.061069,-29.908398,51.145039,4.488019,-6.540293,-24773.046875,-25234.037109
{plotter}21370.185547,7636.706543,-28321.078125,0.039429,0.063477,0.492432,8.732824,10.748092,31.618320,4.616524,-6.357317,-25078.445312,-25233.583984
{plotter}21682.119141,7415.672363,-28098.156250,0.042358,0.054077,0.521484,-10.045801,45.251907,11.557252,4.392235,-5.462731,-25258.958984,-25244.974609
{plotter}22226.263672,7458.227051,-27704.062500,0.013794,0.011475,0.484375,-30.396946,77.374046,12.290076,3.724834,-3.898345,-25587.087891,-25277.126953
{plotter}22993.755859,7892.295898,-27134.445312,-0.012207,-0.031738,0.450684,-21.954199,90.183205,-2.503817,3.217474,-2.049519,-25809.332031,-25321.201172
{plotter}23782.066406,8211.468750,-26571.699219,0.008789,-0.010986,0.459106,-20.732824,63.954197,-26.122137,2.771095,-0.736048,-25835.974609,-25363.380859
{plotter}24664.125000,8620.821289,-26133.320312,-0.012207,-0.035645,0.483154,-22.137405,31.725191,-37.145039,2.263505,-0.047731,-25751.892578,-25396.576172
{plotter}24655.365234,9104.330078,-25828.796875,-0.023682,0.091187,0.581055,-20.900763,-9.633588,-61.450382,1.848098,-0.196115,-25437.208984,-25405.539062
{plotter}24342.457031,9697.405273,-25967.431641,-0.007690,0.077881,0.549927,-26.122137,-33.816795,-47.251907,1.334399,-0.845860,-25372.400391,-25410.031250
{plotter}23942.617188,10534.671875,-26163.437500,-0.021118,0.049194,0.470337,4.763359,-25.053434,-28.671755,1.486881,-1.298602,-25332.015625,-25412.142578
{plotter}23646.455078,10548.216797,-26331.382812,-0.008911,0.045532,0.427490,19.435114,-17.496183,-14.793893,1.909664,-1.625305,-25284.117188,-25411.382812
{plotter}23323.746094,10440.627930,-26475.798828,-0.010620,-0.011475,0.425049,18.305344,-13.954199,1.206107,2.257501,-1.889268,-25260.892578,-25409.486328
{plotter}23187.863281,10274.515625,-26723.345703,-0.032837,0.063354,0.447998,18.702290,-13.648855,-6.702290,2.686410,-2.104161,-25343.369141,-25414.216797
{plotter}23078.181641,10166.811523,-26813.476562,-0.029541,0.039185,0.404663,22.320610,-9.511451,-4.702290,3.145220,-2.270650,-25280.326172,-25414.707031
{plotter}23030.806641,9547.456055,-26893.437500,-0.036133,0.073486,0.401733,50.564884,15.465649,16.274809,4.167243,-1.958789,-25326.066406,-25418.636719
{plotter}23266.816406,8898.047852,-26793.060547,0.015991,0.030762,0.431274,50.000000,69.145035,37.465649,5.147162,-0.642293,-25624.292969,-25442.777344
{plotter}24730.041016,8285.734375,-26410.007812,-0.022339,-0.069580,0.472290,9.832061,80.503815,59.969467,5.212762,0.885921,-25927.296875,-25485.765625
